대분류,소분류,동구,중구,서구,유성,대덕
식품위생업소,일반음식점,"2,776","3,310","5,996","4,828","2,413"
식품위생업소,유흥주점,24,90,22,83,53
식품위생업소,단란주점,18,84,111,69,21
식품위생업소,제과점,82,72,178,146,53
식품위생업소,휴게음식점,715,796,"1,517","1,205",475
식품위생업소,위탁급식영업,21,17,47,138,67
식품위생업소,집단급식,177,184,341,391,203
식품위생업소,식품제조·가공업,115,69,82,93,116
식품위생업소,즉석판매제조·가공업,398,430,677,470,349
식품위생업소,식품자동판매기업,143,172,318,184,129
식품위생업소,유통전문판매업,49,38,69,70,38
식품위생업소,집단급식소판매업,64,83,81,103,99
식품위생업소,기타식품판매업,33,20,48,30,22
식품위생업소,식품냉동냉장업,1, - ,2, - ,5
식품위생업소,식품운반업,2,10,2,5,12
식품위생업소,식품소분업,78,55,65,77,97
식품위생업소,식품첨가물제조업,1,5,4,11,4
식품위생업소,용기·포장지제조업,7,1,1,2,17
건강기능식품업소,건강기능식품일반판매업,299,433,979,623,258
건강기능식품업소,건강기능식품유통전문판매업,17,8,33,40,8
공중위생업소,숙박,184,258,73,125,91
공중위생업소,목욕장업,27,25,26,24,22
공중위생업소,이용업,103,97,150,73,73
공중위생업소,세탁업,118,167,238,162,112
공중위생업소,건물위생관리업,67,114,203,92,81
공중위생업소,미용업,685,802,"1,850",984,584
공중위생업소,위생용품제조업,4,3,4,5,8
공중위생업소,위생물수건처리업, - , - ,3,1,2
의약업소,약국,115,146,243,136,89
의약업소,한약국,8,6,13,12,3
의약업소,한약도매,16,8,9,2,1
의약업소,양약도매,24,31,45,22,24
의약업소,한약업사,13,2,6,2,1
의약업소,안전상비의약품판매업,158,171,361,258,128
의약업소,의료기기판매업,280,370,915,519,262
의약업소,의료기기수리업,22,22,18,25,20
